"City","Population","Elevation","AdministrativeDivision","Country"
"Eucaliptus",2373,3.7e3,"Oruro, Bolivia","Bolivia"
"Coroico",2361,1.6e3,"La Paz, Bolivia","Bolivia"
"Kilometro Doce a Cochabamba",2301,"QuantityMagnitude[Missing[""NotAvailable""]]","Santa Cruz, Bolivia","Bolivia"
"Sorata",2217,3.1e3,"La Paz, Bolivia","Bolivia"
"Coripata",2205,1.7e3,"La Paz, Bolivia","Bolivia"
"Machacamarca",2206,3.7e3,"Oruro, Bolivia","Bolivia"
"Chima",1943,"QuantityMagnitude[Missing[""NotAvailable""]]","La Paz, Bolivia","Bolivia"
"Viloco",1900,4.1e3,"La Paz, Bolivia","Bolivia"
"Atocha",2033,3.7e3,"Potosi, Bolivia","Bolivia"
"Poopo",1720,3.8e3,"Oruro, Bolivia","Bolivia"
"Colquechaca",1706,4.6e3,"Potosi, Bolivia","Bolivia"
"Totoral",1645,4.1e3,"Oruro, Bolivia","Bolivia"
"São Paulo",12038175,7.3e2,"São Paulo, Brazil","Brazil"
"Rio de Janeiro",6453682,16.,"Rio de Janeiro, Brazil","Brazil"
"Salvador",2921087,46.,"Bahia, Brazil","Brazil"
"Brasília",2556149,1.2e3,"Distrito Federal, Brazil","Brazil"
"Fortaleza",2609716,29.,"Ceara, Brazil","Brazil"
"Belo Horizonte",2513451,8.7e2,"Minas Gerais, Brazil","Brazil"
"Curitiba",1879355,9.4e2,"Parana, Brazil","Brazil"
"Manaus",2094391,46.,"Amazonas, Brazil","Brazil"
"Recife",1555039,6.,"Pernambuco, Brazil","Brazil"
"Porto Alegre",1484941,15.,"Rio Grande Do Sul, Brazil","Brazil"
"Belem",1439561,2.,"Para, Brazil","Brazil"
"Goiania",1448639,8.6e2,"Goias, Brazil","Brazil"
"Guarulhos",1324781,7.4e2,"São Paulo, Brazil","Brazil"
"Campinas",1164098,6.7e2,"São Paulo, Brazil","Brazil"
"São Luís",1073893,6.,"Maranhao, Brazil","Brazil"
"São Gonçalo",1016128,42.,"Rio de Janeiro, Brazil","Brazil"
"Maceió",1013773,13.,"Alagoas, Brazil","Brazil"
"Duque de Caxias",818432,38.,"Rio de Janeiro, Brazil","Brazil"
"Teresina",847430,85.,"Piaui, Brazil","Brazil"
"Natal",877662,34.,"Rio Grande do Norte, Brazil","Brazil"
"Nova Iguaçu",767505,29.,"Rio de Janeiro, Brazil","Brazil"
"Campo Grande",853622,5.6e2,"Mato Grosso do Sul, Brazil","Brazil"
"Sao Bernardo do Campo",816925,8.1e2,"São Paulo, Brazil","Brazil"
"Joao Pessoa",801718,44.,"Paraiba, Brazil","Brazil"
"Sao Jose dos Campos",688597,6.e2,"São Paulo, Brazil","Brazil"
"Santo Andre",710210,7.5e2,"São Paulo, Brazil","Brazil"
"Jaboatao",644620,58.,"Pernambuco, Brazil","Brazil"
"Osasco",697886,7.3e2,"São Paulo, Brazil","Brazil"
"Contagem",648766,9.2e2,"Minas Gerais, Brazil","Brazil"
"Uberlandia",654681,8.8e2,"Minas Gerais, Brazil","Brazil"
"Feira de Santana",612000,2.3e2,"Bahia, Brazil","Brazil"
"Sorocaba",644919,6.2e2,"São Paulo, Brazil","Brazil"
"Ribeirao Preto",666323,5.7e2,"São Paulo, Brazil","Brazil"
"Juiz de Fora",555284,6.9e2,"Minas Gerais, Brazil","Brazil"
"Aracaju",641523,11.,"Sergipe, Brazil","Brazil"
"Cuiaba",585367,1.7e2,"Mato Grosso, Brazil","Brazil"
"Ananindeua",510834,22.,"Para, Brazil","Brazil"
"Londrina",537566,5.8e2,"Parana, Brazil","Brazil"
"Belford Roxo",495694,14.,"Rio de Janeiro, Brazil","Brazil"
"Aparecida de Goiania",504280,8.1e2,"Goias, Brazil","Brazil"
"Niterói",496696,5.,"Rio de Janeiro, Brazil","Brazil"
"Joinville",547000,4.,"Santa Catarina, Brazil","Brazil"
"Sao Joao de Meriti",460541,39.,"Rio de Janeiro, Brazil","Brazil"
"Santos",433966,10.,"São Paulo, Brazil","Brazil"
"Sao Jose do Rio Preto",442548,5.e2,"São Paulo, Brazil","Brazil"
"Betim",408448,8.5e2,"Minas Gerais, Brazil","Brazil"
"Maua",453286,7.8e2,"São Paulo, Brazil","Brazil"
"Vila Velha",472762,13.,"Espirito Santo, Brazil","Brazil"
"Diadema",412428,7.9e2,"São Paulo, Brazil","Brazil"
"Florianópolis",477798,1.1e2,"Santa Catarina, Brazil","Brazil"
"Olinda",389494,12.,"Pernambuco, Brazil","Brazil"
"Serra",485376,31.,"Espirito Santo, Brazil","Brazil"
