"City","Population","Elevation","AdministrativeDivision","Country"
"Nova Olinda do Maranhao",19134,2.1e2,"Maranhao, Brazil","Brazil"
"Sao Miguel do Tapuio",7964,2.8e2,"Piaui, Brazil","Brazil"
"Parnamirim",7928,3.9e2,"Pernambuco, Brazil","Brazil"
"Itapirapua",7923,3.8e2,"Goias, Brazil","Brazil"
"Olho dAgua das Cunhas",7864,"QuantityMagnitude[Missing[""NotAvailable""]]","Maranhao, Brazil","Brazil"
"Pitimbu",7862,18.,"Paraiba, Brazil","Brazil"
"Uirauna",7823,3.e2,"Paraiba, Brazil","Brazil"
"Vianopolis",7807,9.7e2,"Goias, Brazil","Brazil"
"Pocinhos",7803,6.3e2,"Paraiba, Brazil","Brazil"
"Mato Verde",7783,5.7e2,"Minas Gerais, Brazil","Brazil"
"Flexeiras",7782,91.,"Alagoas, Brazil","Brazil"
"Guaraniacu",7781,8.8e2,"Parana, Brazil","Brazil"
"Nhamunda",7772,2.,"Amazonas, Brazil","Brazil"
"Arroio do Sal",7744,6.,"Rio Grande Do Sul, Brazil","Brazil"
"Junqueiro",7740,1.9e2,"Alagoas, Brazil","Brazil"
"Angicos",7728,1.2e2,"Rio Grande do Norte, Brazil","Brazil"
"Petrolina de Goias",7710,7.4e2,"Goias, Brazil","Brazil"
"Araruna",7667,5.5e2,"Paraiba, Brazil","Brazil"
"Touros",7662,7.,"Rio Grande do Norte, Brazil","Brazil"
"Terra Nova do Norte",9816,3.e2,"Mato Grosso, Brazil","Brazil"
"Arara",13355,4.5e2,"Paraiba, Brazil","Brazil"
"Pauini",7633,1.1e2,"Amazonas, Brazil","Brazil"
"Sao Jose de Piranhas",7628,3.5e2,"Paraiba, Brazil","Brazil"
"Brejinho",7625,1.3e2,"Rio Grande do Norte, Brazil","Brazil"
"Araguacu",8777,3.e2,"Tocantins, Brazil","Brazil"
"Sete Quedas",10811,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso do Sul, Brazil","Brazil"
"Pilar",7588,95.,"Paraiba, Brazil","Brazil"
"Campinapolis",7587,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso, Brazil","Brazil"
"Orizona",7583,8.4e2,"Goias, Brazil","Brazil"
"Inhapi",7550,3.7e2,"Alagoas, Brazil","Brazil"
"Baixa Grande",7534,4.2e2,"Bahia, Brazil","Brazil"
"Craibas",24510,2.4e2,"Alagoas, Brazil","Brazil"
"Sao Felix do Araguaia",11209,1.9e2,"Mato Grosso, Brazil","Brazil"
"Jauru",9003,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso, Brazil","Brazil"
"Mirante da Serra",12308,"QuantityMagnitude[Missing[""NotAvailable""]]","Rondonia, Brazil","Brazil"
"Alagoinha",7474,1.7e2,"Paraiba, Brazil","Brazil"
"Belo Vale",7536,"QuantityMagnitude[Missing[""NotAvailable""]]","Minas Gerais, Brazil","Brazil"
"Muana",7464,15.,"Para, Brazil","Brazil"
"Itapororoca",18332,1.6e2,"Paraiba, Brazil","Brazil"
"Cacimba de Dentro",7447,5.4e2,"Paraiba, Brazil","Brazil"
"Sao Jose do Calcado",7442,3.1e2,"Espirito Santo, Brazil","Brazil"
"Paramirim",7421,6.e2,"Bahia, Brazil","Brazil"
"São Miguel das Missões",7420,2.9e2,"Rio Grande Do Sul, Brazil","Brazil"
"Areia Branca",7414,1.6e2,"Sergipe, Brazil","Brazil"
"Sao Pedro do Piaui",7408,2.6e2,"Piaui, Brazil","Brazil"
"Monte Santo",7398,6.5e2,"Bahia, Brazil","Brazil"
"Itaquirai",7379,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso do Sul, Brazil","Brazil"
"Passagem Franca",7376,2.3e2,"Maranhao, Brazil","Brazil"
"Bananeiras",7371,5.4e2,"Paraiba, Brazil","Brazil"
"Minas Novas",7365,5.6e2,"Minas Gerais, Brazil","Brazil"
"Barcelos",7353,32.,"Amazonas, Brazil","Brazil"
"Barra de Santa Rosa",15145,1.2e2,"Paraiba, Brazil","Brazil"
"Bataipora",7346,3.e2,"Mato Grosso do Sul, Brazil","Brazil"
"Sao Joao do Rio do Peixe",17929,3.1e2,"Paraiba, Brazil","Brazil"
"Ibirapitanga",7302,1.2e2,"Bahia, Brazil","Brazil"
"Nova Brasilandia dOeste",7301,"QuantityMagnitude[Missing[""NotAvailable""]]","Rondonia, Brazil","Brazil"
"Sao Desiderio",7295,5.2e2,"Bahia, Brazil","Brazil"
"Ares",7231,40.,"Rio Grande do Norte, Brazil","Brazil"
"Jardim",7189,28.,"Ceara, Brazil","Brazil"
"Sao Luis Gonzaga do Maranhao",7183,"QuantityMagnitude[Missing[""NotAvailable""]]","Maranhao, Brazil","Brazil"
"Deodapolis",7167,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso do Sul, Brazil","Brazil"
"Ponto Novo",7141,3.6e2,"Bahia, Brazil","Brazil"
"Poco Branco",7112,72.,"Rio Grande do Norte, Brazil","Brazil"
"Jaicos",7107,3.1e2,"Piaui, Brazil","Brazil"
"Palmas de Monte Alto",7091,5.2e2,"Bahia, Brazil","Brazil"
"Mancio Lima",7086,1.9e2,"Acre, Brazil","Brazil"
"Hidrolandia",7082,8.4e2,"Goias, Brazil","Brazil"
"Simplicio Mendes",7076,3.1e2,"Piaui, Brazil","Brazil"
"Garrafao do Norte",7071,"QuantityMagnitude[Missing[""NotAvailable""]]","Para, Brazil","Brazil"
"Abadiania",15757,9.6e2,"Goias, Brazil","Brazil"
"Inhuma",7056,3.8e2,"Piaui, Brazil","Brazil"
"Frei Paulo",7047,2.3e2,"Sergipe, Brazil","Brazil"
"Cocalzinho de Coias",7039,65.,"Goias, Brazil","Brazil"
"Santa Luzia do Para",7036,"QuantityMagnitude[Missing[""NotAvailable""]]","Para, Brazil","Brazil"
"Jacarau",7035,1.3e2,"Paraiba, Brazil","Brazil"
"Afua",7031,5.,"Para, Brazil","Brazil"
"Buriti",27013,96.,"Maranhao, Brazil","Brazil"
"Mucajai",18618,91.,"Roraima, Brazil","Brazil"
"Aroeiras",7019,4.7e2,"Paraiba, Brazil","Brazil"
"Brasnorte",18688,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso, Brazil","Brazil"
"Paripiranga",6965,4.4e2,"Bahia, Brazil","Brazil"
"Mirador",6955,1.9e2,"Maranhao, Brazil","Brazil"
"Afonso Bezerra",6947,59.,"Rio Grande do Norte, Brazil","Brazil"
"Sao Joao",6926,6.9e2,"Pernambuco, Brazil","Brazil"
"Pecanha",6902,7.1e2,"Minas Gerais, Brazil","Brazil"
"Jeronimo Monteiro",6902,1.4e2,"Espirito Santo, Brazil","Brazil"
"Nioaque",14167,1.9e2,"Mato Grosso do Sul, Brazil","Brazil"
"Arraias",10778,7.1e2,"Tocantins, Brazil","Brazil"
"Cumaru",6861,4.4e2,"Pernambuco, Brazil","Brazil"
"Matinha",6851,22.,"Maranhao, Brazil","Brazil"
"Monte Alegre de Sergipe",6816,2.7e2,"Sergipe, Brazil","Brazil"
"Aldeias Altas",23952,"QuantityMagnitude[Missing[""NotAvailable""]]","Maranhao, Brazil","Brazil"
"Ocara",6793,1.2e2,"Ceara, Brazil","Brazil"
"Carai",6750,8.4e2,"Minas Gerais, Brazil","Brazil"
"Rio Novo do Sul",6717,53.,"Espirito Santo, Brazil","Brazil"
"Pilao Arcado",35428,4.6e2,"Bahia, Brazil","Brazil"
"Upanema",6704,42.,"Rio Grande do Norte, Brazil","Brazil"
"Agua Doce do Norte",12025,2.1e2,"Espirito Santo, Brazil","Brazil"
"Sao Domingos do Capim",6675,"QuantityMagnitude[Missing[""NotAvailable""]]","Para, Brazil","Brazil"
"Careiro",6659,12.,"Amazonas, Brazil","Brazil"
"Monte Alegre",6643,4.e2,"Rio Grande do Norte, Brazil","Brazil"
"Governador Dix‐Sept Rosado",6626,27.,"Rio Grande do Norte, Brazil","Brazil"
"Tanhacu",6620,4.1e2,"Bahia, Brazil","Brazil"
"Quebrangulo",6587,3.8e2,"Alagoas, Brazil","Brazil"
"Coracao de Maria",6571,2.3e2,"Bahia, Brazil","Brazil"
"Wanderlandia",10981,3.8e2,"Tocantins, Brazil","Brazil"
"Porto",6535,45.,"Piaui, Brazil","Brazil"
"Paranhos",6516,4.2e2,"Mato Grosso do Sul, Brazil","Brazil"
"Mazagao",6500,11.,"Amapa, Brazil","Brazil"
"Triunfo",6498,"QuantityMagnitude[Missing[""NotAvailable""]]","Pernambuco, Brazil","Brazil"
"Paranaita",6497,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso, Brazil","Brazil"
"Prainha",6481,34.,"Para, Brazil","Brazil"
"Igaci",6480,2.4e2,"Alagoas, Brazil","Brazil"
"Gurupa",6461,0,"Para, Brazil","Brazil"
"Porto Alegre do Norte",11837,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso, Brazil","Brazil"
"Pirapemas",6439,24.,"Maranhao, Brazil","Brazil"
"Santana do Mundau",6439,3.3e2,"Alagoas, Brazil","Brazil"
"Cristinapolis",6430,1.5e2,"Sergipe, Brazil","Brazil"
"Alfredo Chaves",13955,80.,"Espirito Santo, Brazil","Brazil"
"Varzelandia",6397,7.7e2,"Minas Gerais, Brazil","Brazil"
"Santo Antonio do Leverger",6387,1.5e2,"Mato Grosso, Brazil","Brazil"
"Pedro Velho",6366,44.,"Rio Grande do Norte, Brazil","Brazil"
"Brasilandia",6354,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso do Sul, Brazil","Brazil"
"Canutama",6320,64.,"Amazonas, Brazil","Brazil"
"Boquira",6306,7.4e2,"Bahia, Brazil","Brazil"
"Alto Alegre",16053,82.,"Roraima, Brazil","Brazil"
"Amapa",6255,11.,"Amapa, Brazil","Brazil"
"Rio Novo",6255,4.2e2,"Minas Gerais, Brazil","Brazil"
"Aracagi",17122,1.6e2,"Paraiba, Brazil","Brazil"
"Boa Vista",6224,5.e2,"Paraiba, Brazil","Brazil"
"Bujaru",6189,26.,"Para, Brazil","Brazil"
"Pedro Osorio",8011,26.,"Rio Grande Do Sul, Brazil","Brazil"
"Alto Paraguai",10921,2.4e2,"Mato Grosso, Brazil","Brazil"
"Ruropolis",40087,1.1e2,"Para, Brazil","Brazil"
"Sao Tome",6137,1.6e2,"Rio Grande do Norte, Brazil","Brazil"
"Rosana",6087,"QuantityMagnitude[Missing[""NotAvailable""]]","São Paulo, Brazil","Brazil"
"Terenos",6086,4.3e2,"Mato Grosso do Sul, Brazil","Brazil"
"Domingos Martins",6061,7.4e2,"Espirito Santo, Brazil","Brazil"
"Carmo do Rio Verde",6053,5.8e2,"Goias, Brazil","Brazil"
"Carnaiba",6019,3.8e2,"Pernambuco, Brazil","Brazil"
"Boa Vista do Tupim",18658,3.1e2,"Bahia, Brazil","Brazil"
"Porto Real do Colegio",6001,25.,"Alagoas, Brazil","Brazil"
"Lagoa Nova",5984,7.e2,"Rio Grande do Norte, Brazil","Brazil"
"Maravilha",5909,5.e2,"Alagoas, Brazil","Brazil"
"Orobo",5884,4.1e2,"Pernambuco, Brazil","Brazil"
"Santa Maria de Jetiba",37720,7.1e2,"Espirito Santo, Brazil","Brazil"
"Marechal Floriano",5869,6.5e2,"Espirito Santo, Brazil","Brazil"
"Jutai",5862,1.1e2,"Amazonas, Brazil","Brazil"
"Serra Dourada",5862,5.2e2,"Bahia, Brazil","Brazil"
"Santa Luzia dOeste",5854,"QuantityMagnitude[Missing[""NotAvailable""]]","Rondonia, Brazil","Brazil"
"Sobrália",5828,2.7e2,"Minas Gerais, Brazil","Brazil"
"Ipixuna",26860,1.6e2,"Amazonas, Brazil","Brazil"
"Cruz do Espirito Santo",5812,20.,"Paraiba, Brazil","Brazil"
"Campo Alegre de Lourdes",29938,4.7e2,"Bahia, Brazil","Brazil"
"Wenceslau Guimaraes",5788,"QuantityMagnitude[Missing[""NotAvailable""]]","Bahia, Brazil","Brazil"
"Sitio Novo do Tocantins",9148,1.9e2,"Tocantins, Brazil","Brazil"
"Bueno Brandao",5777,1.2e3,"Minas Gerais, Brazil","Brazil"
"Tupanatinga",5768,7.7e2,"Pernambuco, Brazil","Brazil"
"Acrelandia",5766,"QuantityMagnitude[Missing[""NotAvailable""]]","Acre, Brazil","Brazil"
"Bonfim",5755,86.,"Roraima, Brazil","Brazil"
"São Nicolau",5727,7.5e2,"Rio Grande Do Sul, Brazil","Brazil"
"Xapuri",5721,1.8e2,"Acre, Brazil","Brazil"
"Senador Jose Porfirio",5708,45.,"Para, Brazil","Brazil"
"Bequimao",5695,14.,"Maranhao, Brazil","Brazil"
"Alcantara",21851,18.,"Maranhao, Brazil","Brazil"
"Anajatuba",5627,7.,"Maranhao, Brazil","Brazil"
"Gurinhem",5618,1.2e2,"Paraiba, Brazil","Brazil"
"Pacaja",39979,1.5e2,"Para, Brazil","Brazil"
"Sao Miguel do Guapore",5608,"QuantityMagnitude[Missing[""NotAvailable""]]","Rondonia, Brazil","Brazil"
"Irituia",5602,16.,"Para, Brazil","Brazil"
"Oliveira dos Brejinhos",5596,6.3e2,"Bahia, Brazil","Brazil"
"Malhador",5574,2.6e2,"Sergipe, Brazil","Brazil"
"Novo Lino",5538,1.5e2,"Alagoas, Brazil","Brazil"
"Confresa",28913,2.4e2,"Mato Grosso, Brazil","Brazil"
"Alvaraes",5527,50.,"Amazonas, Brazil","Brazil"
"Passo de Camaragibe",15419,9.,"Alagoas, Brazil","Brazil"
"Carire",5488,1.2e2,"Ceara, Brazil","Brazil"
"Ribeirao Cascalheira",5463,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso, Brazil","Brazil"
"Teofilandia",23011,3.7e2,"Bahia, Brazil","Brazil"
"Salgado",5457,1.e2,"Sergipe, Brazil","Brazil"
"Caetes",26577,8.8e2,"Pernambuco, Brazil","Brazil"
"Doverlandia",5376,"QuantityMagnitude[Missing[""NotAvailable""]]","Goias, Brazil","Brazil"
"Desterro",5374,6.e2,"Paraiba, Brazil","Brazil"
"Nova Canaa do Norte",5327,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso, Brazil","Brazil"
"Taquarana",5288,2.5e2,"Alagoas, Brazil","Brazil"
"Castanheira",5209,2.8e2,"Mato Grosso, Brazil","Brazil"
"Humberto de Campos",5208,8.,"Maranhao, Brazil","Brazil"
"Vila Bela da Santissima Trinidade",5164,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso, Brazil","Brazil"
"Agua Branca",5160,6.6e2,"Alagoas, Brazil","Brazil"
"Medicilandia",30315,2.1e2,"Para, Brazil","Brazil"
"Itaueira",5146,2.6e2,"Piaui, Brazil","Brazil"
"Fagundes",5137,6.3e2,"Paraiba, Brazil","Brazil"
"Iraquara",5131,7.2e2,"Bahia, Brazil","Brazil"
"Candido de Abreu",5102,5.2e2,"Parana, Brazil","Brazil"
"Iconha",5051,51.,"Espirito Santo, Brazil","Brazil"
"Beneditinos",5005,1.2e2,"Piaui, Brazil","Brazil"
"Itapicuru",4994,1.5e2,"Bahia, Brazil","Brazil"
"Indiaroba",4989,8.,"Sergipe, Brazil","Brazil"
"Pio IX",4973,4.7e2,"Piaui, Brazil","Brazil"
"Itatuba",4951,1.3e2,"Paraiba, Brazil","Brazil"
"Tavares",4939,7.2e2,"Paraiba, Brazil","Brazil"
"Cerro Cora",4927,5.7e2,"Rio Grande do Norte, Brazil","Brazil"
"Gilbues",4920,4.3e2,"Piaui, Brazil","Brazil"
"Itinga",4915,3.5e2,"Minas Gerais, Brazil","Brazil"
"Manaira",4913,6.9e2,"Paraiba, Brazil","Brazil"
"Ituacu",4891,5.2e2,"Bahia, Brazil","Brazil"
"Capoeiras",4861,8.9e2,"Pernambuco, Brazil","Brazil"
"Goiatins",12064,"QuantityMagnitude[Missing[""NotAvailable""]]","Tocantins, Brazil","Brazil"
"Morros",4829,4.8e2,"Maranhao, Brazil","Brazil"
"Rio Bananal",4814,96.,"Espirito Santo, Brazil","Brazil"
"Sao Domingos",4784,7.e2,"Goias, Brazil","Brazil"
"Mogeiro",4767,1.2e2,"Paraiba, Brazil","Brazil"
"Monsenhor Gil",4751,1.4e2,"Piaui, Brazil","Brazil"
"Araua",4747,84.,"Sergipe, Brazil","Brazil"
"Encruzilhada",4711,6.5e2,"Bahia, Brazil","Brazil"
"Laje",4708,6.3e2,"Bahia, Brazil","Brazil"
"Vargem Alta",4672,6.9e2,"Espirito Santo, Brazil","Brazil"
"Mata Grande",4654,6.7e2,"Alagoas, Brazil","Brazil"
"Godofredo Viana",10635,"QuantityMagnitude[Missing[""NotAvailable""]]","Maranhao, Brazil","Brazil"
"Ipanguacu",4624,19.,"Rio Grande do Norte, Brazil","Brazil"
"Cacimbinhas",4618,3.2e2,"Alagoas, Brazil","Brazil"
"Riachao do Dantas",4615,1.7e2,"Sergipe, Brazil","Brazil"
"Taipu",4606,37.,"Rio Grande do Norte, Brazil","Brazil"
"Igreja Nova",4605,69.,"Alagoas, Brazil","Brazil"
"Umbuzeiro",9889,5.6e2,"Paraiba, Brazil","Brazil"
"Dois Riachos",4565,2.3e2,"Alagoas, Brazil","Brazil"
"Tonantins",4561,1.e2,"Amazonas, Brazil","Brazil"
"Conceicao do Castelo",4538,6.8e2,"Espirito Santo, Brazil","Brazil"
"Avelino Lopes",11067,"QuantityMagnitude[Missing[""NotAvailable""]]","Piaui, Brazil","Brazil"
"Governador Eugenio Barros",4479,"QuantityMagnitude[Missing[""NotAvailable""]]","Maranhao, Brazil","Brazil"
"Nossa Senhora do Livramento",12518,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso, Brazil","Brazil"
"Vila Valerio",4441,"QuantityMagnitude[Missing[""NotAvailable""]]","Espirito Santo, Brazil","Brazil"
"Tiradentes",4439,9.2e2,"Minas Gerais, Brazil","Brazil"
"Alto Longa",4435,1.5e2,"Piaui, Brazil","Brazil"
"Sao Joao da Baliza",4406,"QuantityMagnitude[Missing[""NotAvailable""]]","Roraima, Brazil","Brazil"
"Tomar do Geru",4394,1.8e2,"Sergipe, Brazil","Brazil"
"Maraa",4387,75.,"Amazonas, Brazil","Brazil"
"Barao de Melgaco",4353,1.4e2,"Mato Grosso, Brazil","Brazil"
"Souto Soares",17332,"QuantityMagnitude[Missing[""NotAvailable""]]","Bahia, Brazil","Brazil"
"Simoes",4332,4.3e2,"Piaui, Brazil","Brazil"
"Coronel Joao Sa",17098,2.1e2,"Bahia, Brazil","Brazil"
"Quijingue",4293,3.4e2,"Bahia, Brazil","Brazil"
"Salgado de Sao Felix",4266,88.,"Paraiba, Brazil","Brazil"
"Palmeirais",4262,97.,"Piaui, Brazil","Brazil"
"Canapi",4218,3.5e2,"Alagoas, Brazil","Brazil"
"Japoata",4207,38.,"Sergipe, Brazil","Brazil"
"Mulungu",4181,1.e2,"Paraiba, Brazil","Brazil"
"Santa Isabel do Rio Negro",4142,53.,"Amazonas, Brazil","Brazil"
"Limoeiro do Ajuru",4109,12.,"Para, Brazil","Brazil"
"Manoel Urbano",4065,1.6e2,"Acre, Brazil","Brazil"
"Itarana",4060,2.1e2,"Espirito Santo, Brazil","Brazil"
"Imaculada",4014,8.2e2,"Paraiba, Brazil","Brazil"
"Matias Olimpio",4012,79.,"Piaui, Brazil","Brazil"
"Feira Grande",22481,1.7e2,"Alagoas, Brazil","Brazil"
"Marilandia",3900,1.7e2,"Espirito Santo, Brazil","Brazil"
"Triunfo",3871,3.1e2,"Paraiba, Brazil","Brazil"
"Rodrigues Alves",3826,1.7e2,"Acre, Brazil","Brazil"
"Pimenteiras",3819,3.e2,"Piaui, Brazil","Brazil"
"Urupa",3798,"QuantityMagnitude[Missing[""NotAvailable""]]","Rondonia, Brazil","Brazil"
"Juru",3796,5.8e2,"Paraiba, Brazil","Brazil"
"Anage",3758,3.8e2,"Bahia, Brazil","Brazil"
"Joaquim Pires",13817,"QuantityMagnitude[Missing[""NotAvailable""]]","Piaui, Brazil","Brazil"
"Cavalcante",3747,8.5e2,"Goias, Brazil","Brazil"
"Cachoeira de Pajeu",3716,"QuantityMagnitude[Missing[""NotAvailable""]]","Minas Gerais, Brazil","Brazil"
"Dona Ines",3709,4.3e2,"Paraiba, Brazil","Brazil"
"Presidente Tancredo Neves",27505,"QuantityMagnitude[Missing[""NotAvailable""]]","Bahia, Brazil","Brazil"
"Paulista",3677,1.7e2,"Paraiba, Brazil","Brazil"
"Icatu",3648,8.,"Maranhao, Brazil","Brazil"
"Sao Joao Batista",3634,10.,"Maranhao, Brazil","Brazil"
"Moita Bonita",3602,2.1e2,"Sergipe, Brazil","Brazil"
"Sao Sebastiao de Lagoa de Roca",11677,6.e2,"Paraiba, Brazil","Brazil"
"Montes Altos",3518,2.4e2,"Maranhao, Brazil","Brazil"
"Irupi",3505,7.6e2,"Espirito Santo, Brazil","Brazil"
"Sao Luiz",3482,"QuantityMagnitude[Missing[""NotAvailable""]]","Roraima, Brazil","Brazil"
"Senador Rui Palmeira",13909,"QuantityMagnitude[Missing[""NotAvailable""]]","Alagoas, Brazil","Brazil"
"Estrela de Alagoas",18435,"QuantityMagnitude[Missing[""NotAvailable""]]","Alagoas, Brazil","Brazil"
"Natuba",3333,5.5e2,"Paraiba, Brazil","Brazil"
"Lago do Junco",10729,35.,"Maranhao, Brazil","Brazil"
"Grao Mogol",15024,7.3e2,"Minas Gerais, Brazil","Brazil"
"Serra do Ramalho",3276,"QuantityMagnitude[Missing[""NotAvailable""]]","Bahia, Brazil","Brazil"
"Tremedal",3252,5.1e2,"Bahia, Brazil","Brazil"
"Puxinana",3210,6.7e2,"Paraiba, Brazil","Brazil"
"Massaranduba",3153,4.8e2,"Paraiba, Brazil","Brazil"
"Campo Grande",3051,64.,"Alagoas, Brazil","Brazil"
"Rafael Jambeiro",24349,"QuantityMagnitude[Missing[""NotAvailable""]]","Bahia, Brazil","Brazil"
"Laranja da Terra",3016,3.1e2,"Espirito Santo, Brazil","Brazil"
"Alto Paraiso",20569,1.6e2,"Rondonia, Brazil","Brazil"
"Gararu",2977,53.,"Sergipe, Brazil","Brazil"
"Marau",2956,11.,"Bahia, Brazil","Brazil"
"Itainopolis",2922,2.3e2,"Piaui, Brazil","Brazil"
"Olivenca",2848,2.3e2,"Alagoas, Brazil","Brazil"
"Presidente Kennedy",2847,"QuantityMagnitude[Missing[""NotAvailable""]]","Espirito Santo, Brazil","Brazil"
"Uarini",2796,28.,"Amazonas, Brazil","Brazil"
"Limoeiro de Anadia",2770,1.6e2,"Alagoas, Brazil","Brazil"
"Parana",10338,3.e2,"Tocantins, Brazil","Brazil"
"Agua Azul do Norte",26497,6.5e2,"Para, Brazil","Brazil"
"Santa Luzia do Itanhy",12969,39.,"Sergipe, Brazil","Brazil"
"Alto Alegre do Parecis",2662,"QuantityMagnitude[Missing[""NotAvailable""]]","Rondonia, Brazil","Brazil"
"Pacatuba",2616,9.,"Sergipe, Brazil","Brazil"
"Aguia Branca",2554,1.7e2,"Espirito Santo, Brazil","Brazil"
"Coite do Noia",2529,1.9e2,"Alagoas, Brazil","Brazil"
"Severiano Melo",2503,1.4e2,"Rio Grande do Norte, Brazil","Brazil"
"Santa Leopoldina",2327,1.3e2,"Espirito Santo, Brazil","Brazil"
"Jundia",2267,1.4e2,"Alagoas, Brazil","Brazil"
"Ministro Andreazza",10786,"QuantityMagnitude[Missing[""NotAvailable""]]","Rondonia, Brazil","Brazil"
"Fernando de Noronha",2116,25.,"Pernambuco, Brazil","Brazil"
"Corumbiara",8749,"QuantityMagnitude[Missing[""NotAvailable""]]","Rondonia, Brazil","Brazil"
"Minador do Negrao",1986,2.9e2,"Alagoas, Brazil","Brazil"
"Japura",1908,89.,"Amazonas, Brazil","Brazil"
"Porto Walter",1816,2.e2,"Acre, Brazil","Brazil"
"Marechal Thaumaturgo",1808,2.5e2,"Acre, Brazil","Brazil"
"Vale do Paraiso",1780,"QuantityMagnitude[Missing[""NotAvailable""]]","Rondonia, Brazil","Brazil"
"Poco das Trincheiras",1775,3.3e2,"Alagoas, Brazil","Brazil"
"Cumbuco",1600,"QuantityMagnitude[Missing[""NotAvailable""]]","Ceara, Brazil","Brazil"
"Jacareacanga",1402,1.3e2,"Para, Brazil","Brazil"
"Governador Jorge Teixeira",9933,"QuantityMagnitude[Missing[""NotAvailable""]]","Rondonia, Brazil","Brazil"
"Novo Horizonte do Oeste",10161,"QuantityMagnitude[Missing[""NotAvailable""]]","Rondonia, Brazil","Brazil"
"Paco do Lumiar",1266,6.,"Maranhao, Brazil","Brazil"
"Piranhas",1170,1.4e2,"Alagoas, Brazil","Brazil"
"Careiro da Varzea",1092,16.,"Amazonas, Brazil","Brazil"
"Santiago",6685685,5.5e2,"Metropolitana, Chile","Chile"
"Puente Alto",573935,7.e2,"Metropolitana, Chile","Chile"
"Antofagasta",309832,85.,"Antofagasta, Chile","Chile"
"Vina del Mar",334248,18.,"Valparaiso, Chile","Chile"
"Las Condes",282972,"QuantityMagnitude[Missing[""NotAvailable""]]","Metropolitana, Chile","Chile"
"Valparaiso",296655,1.1e2,"Valparaiso, Chile","Chile"
"Talcahuano",150499,4.,"Bio Bio, Chile","Chile"
"San Bernardo",246762,5.8e2,"Metropolitana, Chile","Chile"
"Temuco",262530,1.2e2,"Araucania, Chile","Chile"
"Iquique",180601,28.,"Tarapaca, Chile","Chile"
"Concepción",292589,36.,"Bio Bio, Chile","Chile"
"Rancagua",232211,5.1e2,"Libertador, Chile","Chile"
"Talca",201142,1.e2,"Maule, Chile","Chile"
"Arica",210216,56.,"Tarapaca, Chile","Chile"
"Chillán",174777,1.2e2,"Bio Bio, Chile","Chile"
"Coquimbo",200117,4.,"Coquimbo, Chile","Chile"
"Puerto Montt",245902,21.,"Los Lagos, Chile","Chile"
"La Serena",211275,19.,"Coquimbo, Chile","Chile"
"Calama",147886,2.3e3,"Antofagasta, Chile","Chile"
"Osorno",145475,19.,"Los Lagos, Chile","Chile"
"Valdivia",154432,9.,"Los Ríos, Chile","Chile"
"Providencia",120874,6.e2,"Metropolitana, Chile","Chile"
"Quilpue",149500,1.1e2,"Valparaiso, Chile","Chile"
"Copiapo",158438,3.9e2,"Atacama, Chile","Chile"
"Los Angeles",186671,1.4e2,"Bio Bio, Chile","Chile"
"Punta Arenas",127454,51.,"Magallanes, Chile","Chile"
"Curico",136954,2.1e2,"Maule, Chile","Chile"
"Villa Alemana",116097,1.6e2,"Valparaiso, Chile","Chile"
"Coronel",107759,1.,"Bio Bio, Chile","Chile"
"San Antonio",87675,19.,"Valparaiso, Chile","Chile"
"Chiguayante",84718,16.,"Bio Bio, Chile","Chile"
"San Pedro de la Paz",121631,"QuantityMagnitude[Missing[""NotAvailable""]]","Bio Bio, Chile","Chile"
"Ovalle",103734,3.1e2,"Coquimbo, Chile","Chile"
"Linares",69535,1.6e2,"Maule, Chile","Chile"
"Quillota",85262,1.2e2,"Valparaiso, Chile","Chile"
"Penaflor",66619,3.6e2,"Metropolitana, Chile","Chile"
"Colina",65082,5.6e2,"Metropolitana, Chile","Chile"
"Melipilla",63100,1.7e2,"Metropolitana, Chile","Chile"
"San Felipe",71104,6.5e2,"Valparaiso, Chile","Chile"
"Los Andes",63009,8.3e2,"Valparaiso, Chile","Chile"
"Buin",63419,4.8e2,"Metropolitana, Chile","Chile"
"San Fernando",73973,3.4e2,"Libertador, Chile","Chile"
"Talagante",51764,3.4e2,"Metropolitana, Chile","Chile"
"Lota",47339,36.,"Bio Bio, Chile","Chile"
"Calera",50221,2.3e2,"Valparaiso, Chile","Chile"
"Tome",53219,76.,"Bio Bio, Chile","Chile"
"Penco",46176,0,"Bio Bio, Chile","Chile"
"Coihaique",57818,2.8e2,"Aisen, Chile","Chile"
"Vallenar",52096,4.1e2,"Atacama, Chile","Chile"
