"mname","pop","country","adm","admi"
"Cerro Largo, Uruguay",84698,"Uruguay","Cerro Largo","UY-CL"
"Colonia, Uruguay",123203,"Uruguay","Colonia","UY-CO"
"Durazno, Uruguay",57088,"Uruguay","Durazno","UY-DU"
"Flores, Uruguay",25050,"Uruguay","Flores","UY-FS"
"Florida, Uruguay",67048,"Uruguay","Florida","UY-FD"
"Lavalleja, Uruguay",58815,"Uruguay","Lavalleja","UY-LA"
"Maldonado, Uruguay",164300,"Uruguay","Maldonado","UY-MA"
"Montevideo, Uruguay",1319108,"Uruguay","Montevideo","UY-MO"
"Paysandu, Uruguay",113124,"Uruguay","Paysandu","UY-PA"
"Rio Negro, Uruguay",54765,"Uruguay","Rio Negro","UY-RN"
"Rivera, Uruguay",103493,"Uruguay","Rivera","UY-RV"
"Rocha, Uruguay",68088,"Uruguay","Rocha","UY-RO"
"Salto, Uruguay",124878,"Uruguay","Salto","UY-SA"
"San Jose, Uruguay",108309,"Uruguay","San Jose","UY-SJ"
"Soriano, Uruguay",82595,"Uruguay","Soriano","UY-SO"
"Tacuarembo, Uruguay",90053,"Uruguay","Tacuarembo","UY-TA"
"Treinta y Tres, Uruguay",48134,"Uruguay","Treinta y Tres","UY-TT"
